,,Режиссер,Страна,Слоган,Маркетинг,Качество видео,Аудиодорожки,Директор фильма,Оператор,Премьера в мире,Художник,Сценарий,Премьера в Росcии,Релиз на Blu-ray,Монтаж,Сборы в США,Цифровой релиз,Зрители,Жанр,Релиз на DVD,Рейтинг MPAA,Продюсер,Композитор,Платформа,Время,Возраст,Год производства,Субтитры,Ре-релиз (РФ),Сборы в мире,Бюджет,Сборы в России,Название фильма
223,Null,Дэвид Фрэнкел,США,"«Хорошо быть кисою, хорошо собакою...»",Null,Null,Null,Null,Флориан Баллхаус,"25 декабря 2008, ...","Стюарт Вурцель, В. Стивен Грэхэм, Синди Эванс, ...","Скотт Фрэнк, Дон Рус, Джон Гроган","12 марта 2009, «Двадцатый Век Фокс СНГ»","25 июня 2009, «Двадцатый Век Фокс СНГ»",Марк Ливолси,$143 153 751,Null,11.5 млн,"драма, комедия, семейный","9 апреля 2009, «Двадцатый Век Фокс СНГ»",PG,"Джил Неттер, Карен Розенфельт, Джозеф М. Караччоло мл., ...",Теодор Шапиро,Null,111 мин. / 01:51,12+,2008,Null,Null,+ $112 589 342 = $255 743 093,$60 000 000,$3 564 287,"['Марли и я (2008)', 'Marley & Me12+']"
224,Null,Мишель Гондри,США,«Можно стереть любовь из памяти. Выкинуть из сердца - это уже другая история»,$10 000 000,Null,Null,Null,Эллен Кёрас,"9 марта 2004, ...","Дэн Ли, Дэвид Стейн, Мелисса Тот, ...","Чарли Кауфман, Мишель Гондри, Пьер Бисмут","29 апреля 2004, «Парадиз»","15 апреля 2010, «Парадиз»",Вальдис Оускарсдоуттир,$34 400 301,Null,5.5 млн,"мелодрама, фантастика, драма","26 марта 2009, «Парадиз»",R,"Жорж Берманн, Энтони Брегман, Дэвид Л. Бушелл, ...",Джон Брайон,Null,108 мин. / 01:48,16+,2004,Null,Null,+ $37 642 574 = $72 042 875,$20 000 000,$865 579,"['Вечное сияние чистого разума (2004)', 'Eternal Sunshine of the Spotless Mind16+']"
225,Null,Эльдар Рязанов,СССР,—,Null,Null,Русский,"Лазарь Милькис, Людмила Захарова",Вадим Алисов,"23 ноября 1984, ...","Александр Борисов, Наталья Иванова","Эльдар Рязанов, Александр Островский",Null,Null,Валерия Белова,Null,Null,22 млн,"драма, мелодрама, история","11 января 2011, «Парадиз»",Null,Null,Андрей Петров,Null,137 мин. / 02:17,12+,1984,Нет,Null,Null,Null,Null,"['Жестокий романс (1984)', '12+']"
226,Null,Клинт Иствуд,"США, Германия",—,Null,Null,Null,Null,Том Стерн,"9 декабря 2008, ...","Джеймс Дж. Мураками, Филл Загаевский, Шела Конли, ...","Ник Шенк, Дэйв Джонсон","9 апреля 2009, «Каро-Премьер»","7 июля 2009, «Юниверсал Пикчерс Рус»","Джоэл Кокс, Гари Роач",$148 095 302,Null,3.4 млн,драма,"23 июня 2009, «Юниверсал Пикчерс Рус»",R,"Билл Гербер, Роберт Лоренц, Брюс Берман, ...","Кайл Иствуд, Майкл Стивенс",Null,116 мин. / 01:56,16+,2008,Null,Null,+ $121 862 926 = $269 958 228,$33 000 000,$395 962,"['Гран Торино (2008)', 'Gran Torino16+']"
227,Null,Джосс Уидон,США,«Avengers Assemble!»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Шеймас МакГарви,"11 апреля 2012, ...","Джеймс Чинланд, Бенжамин Эдельберг, Янн К. Энджел, ...","Джосс Уидон, Зак Пенн","3 мая 2012, «WDSSPR»","28 августа 2012, «Уолт Дисней Компани СНГ»","Джеффри Форд, Лиза Лэссек",$623 357 910,Null,78.4 млн,"фантастика, боевик, фэнтези, приключения","28 августа 2012, «Уолт Дисней Компани СНГ»",PG-13,"Кевин Файги, Виктория Алонсо, Луис Д’Эспозито, ...",Алан Сильвестри,Null,137 мин. / 02:17,12+,2012,"Русские, Английские",Null,+ $895 455 078 = $1 518 812 988,$220 000 000,$43 412 056,"['Мстители (2012)', 'The Avengers12+']"
228,Null,"Нэйтан Грено, Байрон Ховард",США,«Приключения предпочитают блондинок»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Null,"24 ноября 2010, ...","Дэвид Гетц, Дуглас Роджерс, Дэн Купер","Дэн Фогельман, Якоб Гримм, Вильгельм Гримм","25 ноября 2010, «WDSSPR»","29 марта 2011, «Уолт Дисней Компани СНГ»",Тим Мертенс,$200 821 936,Null,25.4 млн,"мультфильм, мюзикл, фэнтези, мелодрама, комедия, приключения, семейный","22 марта 2011, «Уолт Дисней Компани СНГ»",PG,"Рой Конли, Глен Кин, Джон Лассетер, ...",Алан Менкен,Null,100 мин. / 01:40,6+,2010,"Русские, Английские",Null,+ $390 973 000 = $591 794 936,$260 000 000,$23 377 477,"['Рапунцель: Запутанная история (2010)', 'Tangled6+']"
229,Null,Дэвид Финчер,США,«Я родился при странных обстоятельствах»,Null,Null,Null,Null,Клаудио Миранда,"10 декабря 2008, ...","Дональд Грэхэм Берт, Келли Керли, Мишель Лалиберт, ...","Эрик Рот, Робин Суикорд, Фрэнсис Скотт Фицджеральд","5 февраля 2009, «Каро-Премьер»","16 июня 2009, «Юниверсал Пикчерс Рус»","Кирк Бакстер, Энгус Уолл",$127 509 326,Null,17.4 млн,"драма, фэнтези","16 июня 2009, «Юниверсал Пикчерс Рус»",PG-13,"Сиан Чаффин, Кэтлин Кеннеди, Фрэнк Маршалл, ...",Александр Деспла,Null,166 мин. / 02:46,16+,2008,Null,Null,+ $206 422 757 = $333 932 083,$150 000 000,$4 379 686,"['Загадочная история Бенджамина Баттона (2008)', 'The Curious Case of Benjamin Button16+']"
230,Null,Даррен Аронофски,США,«Невыносимая легкость апокалипсиса»,Null,Null,Null,Null,Мэттью Либатик,"14 мая 2000, ...","Джеймс Чинланд, Джуди Ри, Лаура Джин Шеннон, ...","Даррен Аронофски, Хьюберт Селби мл.","3 мая 2001, «West»",Null,Джей Рабиновиц,$3 635 482,Null,667.4 тыс,драма,"16 октября 2001, «West Video»",R,"Эрик Уотсон, Палмер Уэст, Бен Баренхольц, ...",Клинт Мэнселл,Null,102 мин. / 01:42,18+,2000,Null,Null,+ $3 754 626 = $7 390 108,$4 500 000,Null,"['Реквием по мечте (2000)', 'Requiem for a Dream18+']"
231,Null,Роб Маршалл,"Франция, Япония, США","«My world is as forbidden as it is fragile; without its mysteries, it cannot survive»",Null,Null,Null,Null,Дион Биби,"29 ноября 2005, ...","Джон Майр, Патрик М. Салливан мл., Коллин Этвуд, ...","Робин Суикорд, Артур Голден","19 января 2006, «Парадиз»","8 апреля 2010, «Парадиз»",Пьетро Скалия,$57 490 508,Null,8.9 млн,"драма, мелодрама",Null,PG-13,"Люси Фишер, Стивен Спилберг, Дуглас Уик, ...",Джон Уильямс,Null,145 мин. / 02:25,16+,2005,Null,Null,+ $104 752 454 = $162 242 962,$85 000 000,$1 875 000,"['Мемуары гейши (2005)', 'Memoirs of a Geisha16+']"
232,Null,Брэд Фурман,США,—,Null,Null,"Русский, Русский 5.1",Null,Лукас Эттлин,"10 марта 2011, ...","Черисс Карденас, Эрин Бенач, Нэнси Най","Джон Романо, Майкл Коннелли","14 апреля 2011, «Люксор»","3 мая 2011, «Флагман-Трейд»",Джефф МакЭвой,$58 009 200,Null,482.2 тыс,"криминал, триллер, драма, детектив","3 мая 2011, «Флагман-Трейд»",R,"Сидни Киммел, Роберт Скотт Штейндорфф, Тед Гидлоу, ...",Клифф Мартинес,Null,114 мин. / 01:54,16+,2011,Нет,Null,+ $17 000 000 = $75 009 200,$40 000 000,$2 123 738,"['Линкольн для адвоката (2011)', 'The Lincoln Lawyer16+']"
233,Null,Алан Паркер,"Великобритания, Германия, Испания, США","«Солгать всегда проще, чем сказать правду»",$25 000 000,Null,"Русский, Английский",Null,Майкл Серезин,"7 февраля 2003, ...","Джеффри Керклэнд, Стив Арнольд, Дженнифер Уильямс, ...",Чарльз Рэндольф,"17 июля 2003, «Пирамида», «Парадиз»",Null,Джерри Хэмблинг,$19 955 598,Null,3.3 млн,"триллер, драма, криминал","30 сентября 2003, «Пирамида»",R,"Алан Паркер, Николас Кейдж, Мориц Борман, ...","Алекс Паркер, Джейк Паркер",Null,130 мин. / 02:10,18+,2002,Русские,Null,+ $19 000 000 = $38 955 598,$38 000 000,Null,"['Жизнь Дэвида Гейла (2002)', 'The Life of David Gale18+']"
234,Null,Дэмьен Шазелл,"США, Гонконг",«Бесстрашным мечтателям посвящается…»,Null,Null,"Русский, Русский 5.1",Null,Линус Сандгрен,"31 августа 2016, ...","Дэвид Уоско, Остин Горг, Alex Angelino, ...",Дэмьен Шазелл,"12 января 2017, «Централ Партнершип»","22 мая 2017, «НД Плэй»",Том Кросс,$151 101 803,"19 апреля 2017, «Централ Партнершип»",3.9 млн,"мюзикл, драма, мелодрама, комедия, музыка","22 мая 2017, «НД Плэй»",PG-13,"Гари Гилберт, Джордан Хоровиц, Марк Э. Платт, ...",Джастин Гурвиц,Null,128 мин. / 02:08,16+,2016,Русские,"21 апреля 2022, «Белые ночи»",+ $296 305 892 = $447 407 695,$30 000 000,$5 913 961,"['Ла-Ла Ленд (2016)', 'La La Land16+']"
235,Null,Нэнси Майерс,США,—,Null,Null,"Русский, Английский",Null,Дин Канди,"29 ноября 2006, ...","Джон Хатмэн, Дэн Уэбстер, Марлен Стюарт, ...",Нэнси Майерс,"7 декабря 2006, «UIP»","17 августа 2010, «Юниверсал Пикчерс Рус»",Джо Хатшинг,$63 224 849,Null,9.6 млн,"мелодрама, комедия","30 сентября 2008, «Мьюзик-Трейд»",PG-13,"Брюс А. Блок, Нэнси Майерс, Дженнифер Итц, ...",Ханс Циммер,Null,136 мин. / 02:16,16+,2006,Русские,Null,+ $141 910 326 = $205 135 175,$85 000 000,$3 584 503,"['Отпуск по обмену (2006)', 'The Holiday16+']"
236,Null,Оксана Карас,Россия,"«Один день, чтобы спасти всех»",Null,Null,"Русский, Русский 5.1",Null,Сергей Мачильский,Null,"Павел Пархоменко, Ульяна Полянская, Олег Матрохин, ...","Алексей Илюшкин, Наталья Кудряшова, Оксана Карас, ...","22 октября 2020, «Белые ночи»",Null,"Владимир Воронин, Ольга Прошкина",Null,Null,89.2 тыс,"драма, биография",Null,Null,"Рафаел Минасбекян, Джаник Файзиев, Тимур Вайнштейн, ...",Юрий Потеенко,Null,120 мин. / 02:00,16+,2020,Русские (для слабослышащих),Null,$216 317,₽ 72 000 000,$367 653,"['Доктор Лиза (2020)', '16+']"
